iter	Logloss
0	0.557020608
1	0.4480147362
2	0.3609988739
3	0.2966468021
4	0.2490944172
5	0.2090649714
6	0.1765563411
7	0.1516081337
8	0.1326114116
9	0.1162741124
10	0.1034661752
11	0.09402831685
12	0.08607440727
13	0.07937909152
14	0.07429779156
15	0.06951820452
16	0.06590370991
17	0.06292109575
18	0.06013101738
19	0.05771746652
20	0.05506928662
21	0.05337928387
22	0.05178595666
23	0.05042225741
24	0.04917317778
25	0.04822790807
26	0.04746940599
27	0.04675617868
28	0.04598929675
29	0.04538837522
30	0.04488190438
31	0.04438449181
32	0.04390791689
33	0.04349130505
34	0.04320609242
35	0.04286028524
36	0.04234935879
37	0.04205113252
38	0.0415852337
39	0.04135243921
40	0.04104297474
41	0.04081822988
42	0.04055023483
43	0.04026364028
44	0.04007609917
45	0.03983208293
46	0.03962780927
47	0.03946269185
48	0.03931469137
49	0.03915365679
50	0.03903911514
51	0.03890246168
52	0.03878450453
53	0.03857165755
54	0.03838596126
55	0.03828828896
56	0.03811794052
57	0.03798124631
58	0.03784953206
59	0.03767147577
60	0.03755538476
61	0.03737308536
62	0.03728502723
63	0.03714235598
64	0.03702091982
65	0.03694707509
66	0.03684191075
67	0.03674496341
68	0.03658997486
69	0.03641232552
70	0.03635540189
71	0.03624390133
72	0.03614579519
73	0.03602431491
74	0.03598118566
75	0.03590392063
76	0.03579897376
77	0.03569903509
78	0.03562548052
79	0.03554991169
80	0.03538330949
81	0.0353164132
82	0.03526875496
83	0.0351887443
84	0.03513693321
85	0.03504379067
86	0.0348938064
87	0.03482859054
88	0.03476843571
89	0.03469245599
90	0.03463664723
91	0.03455819865
92	0.03448090624
93	0.03443257217
94	0.03430369975
95	0.03424630514
96	0.0341890616
97	0.03407197319
98	0.03402519511
99	0.03394742684
100	0.03386864292
101	0.03382366413
102	0.03377011132
103	0.03371576357
104	0.03366246344
105	0.03360740665
106	0.03355935513
107	0.03348892658
108	0.03343999919
109	0.03338773913
110	0.03329556738
111	0.03324181759
112	0.0332079859
113	0.03316701383
114	0.03311626239
115	0.0330630586
116	0.03303255343
117	0.0329651679
118	0.03293239746
119	0.03289393514
120	0.0328581702
121	0.03281009499
122	0.03274340285
123	0.03264903937
124	0.0325906312
125	0.03250344864
126	0.03245083619
127	0.03240230014
128	0.03235297169
129	0.03230245229
130	0.03219758804
131	0.03214538677
132	0.03212169694
133	0.03206535025
134	0.03204162497
135	0.03187544776
136	0.0318236168
137	0.03180126456
138	0.03173995025
139	0.03167959811
140	0.03161138635
141	0.03157642961
142	0.03154201122
143	0.03150913031
144	0.03145923204
145	0.03139609227
146	0.03130624594
147	0.0312887322
148	0.03120848225
149	0.03118034913
150	0.0311575511
151	0.03113093101
152	0.03106789692
153	0.03090692333
154	0.03085283982
155	0.03082889682
156	0.03080608283
157	0.03076133206
158	0.03071943191
159	0.03068869294
160	0.03064259135
161	0.03061357447
162	0.03058005769
163	0.03054968003
164	0.0304901165
165	0.03046629583
166	0.03042977259
167	0.03038942826
168	0.03035367344
169	0.03034093829
170	0.03031962049
171	0.03029180289
172	0.03026578832
173	0.03021601859
174	0.03017173524
175	0.0301570046
176	0.03013196355
177	0.03000440444
178	0.02999096812
179	0.02995141785
180	0.02993432846
181	0.02989916871
182	0.02985618848
183	0.02977858757
184	0.02973053009
185	0.02970685518
186	0.02965180145
187	0.02962396125
188	0.02957845454
189	0.02951783222
190	0.02945667986
191	0.02943548036
192	0.02938716579
193	0.02929500596
194	0.02921964825
195	0.02918717886
196	0.02916150427
197	0.02914299726
198	0.02911790388
199	0.02908262275
200	0.02902528827
201	0.02896494663
202	0.02893508231
203	0.0289018129
204	0.02886297027
205	0.02883858172
206	0.02879816048
207	0.02873932289
208	0.02868563509
209	0.02866259087
210	0.02864055189
211	0.02857846223
212	0.02853974365
213	0.02850573607
214	0.02849403373
215	0.02846293456
216	0.02837182913
217	0.0283198772
218	0.02828176718
219	0.02825050586
220	0.02820344024
221	0.02818431461
222	0.02815678672
