OOT,# Records,# Goods,# Bads,Fraud Rate,,,,,,,,
,12232,11935,297,0.024280576,,,,,,,,
,Bin statistics,,,,,Cumulative statistics,,,,,,
bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
81,122,121,1,99.18032787,0.819672131,9908,9615,293,80.56137411,98.65319865,18.09182454,32.81569966
82,122,120,2,98.36065574,1.639344262,10030,9735,295,81.56682028,99.32659933,17.75977905,33
83,123,123,0,100,0,10153,9858,295,82.5974026,99.32659933,16.72919673,33.41694915
84,122,122,0,100,0,10275,9980,295,83.6196062,99.32659933,15.70699313,33.83050847
85,122,121,1,99.18032787,0.819672131,10397,10101,296,84.63343109,99.66329966,15.02986858,34.125
86,123,123,0,100,0,10520,10224,296,85.66401341,99.66329966,13.99928626,34.54054054
87,122,122,0,100,0,10642,10346,296,86.68621701,99.66329966,12.97708265,34.9527027
88,122,121,1,99.18032787,0.819672131,10764,10467,297,87.70004189,100,12.29995811,35.24242424
89,122,122,0,100,0,10886,10589,297,88.7222455,100,11.2777545,35.65319865
90,123,123,0,100,0,11009,10712,297,89.75282782,100,10.24717218,36.06734007
91,122,122,0,100,0,11131,10834,297,90.77503142,100,9.22496858,36.47811448
92,122,122,0,100,0,11253,10956,297,91.79723502,100,8.202764977,36.88888889
93,123,123,0,100,0,11376,11079,297,92.82781734,100,7.172182656,37.3030303
94,122,122,0,100,0,11498,11201,297,93.85002095,100,6.149979053,37.71380471
95,122,122,0,100,0,11620,11323,297,94.87222455,100,5.12777545,38.12457912
96,123,123,0,100,0,11743,11446,297,95.90280687,100,4.097193129,38.53872054
97,122,122,0,100,0,11865,11568,297,96.92501047,100,3.074989527,38.94949495
98,122,122,0,100,0,11987,11690,297,97.94721408,100,2.052785924,39.36026936
99,123,123,0,100,0,12110,11813,297,98.9777964,100,1.022203603,39.77441077
100,122,122,0,100,0,12232,11935,297,100,100,0,40.18518519
