Test,# Records,# Goods,# Bads,Fraud Rate,,,,,,,,,,,,
,25580,25041,539,0.021071149,,,,,,,,,,,,
,Bin statistics,,,,Cumulative statistics,,,,,,,,,,,
bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings,
46,256,256,0,100,0,11767,11237,530,44.87440597,98.33024119,53.45583521,21.20188679,530000,337110,192890,
47,256,256,0,100,0,12023,11493,530,45.89672936,98.33024119,52.43351182,21.68490566,530000,344790,185210,
48,255,254,1,99.60784314,0.392156863,12278,11747,531,46.91106585,98.51576994,51.60470409,22.12241055,531000,352410,178590,
49,256,255,1,99.609375,0.390625,12534,12002,532,47.92939579,98.7012987,50.77190291,22.56015038,532000,360060,171940,
50,256,256,0,100,0,12790,12258,532,48.95171918,98.7012987,49.74957952,23.04135338,532000,367740,164260,
51,256,256,0,100,0,13046,12514,532,49.97404257,98.7012987,48.72725613,23.52255639,532000,375420,156580,
52,256,256,0,100,0,13302,12770,532,50.99636596,98.7012987,47.70493274,24.0037594,532000,383100,148900,
53,255,255,0,100,0,13557,13025,532,52.0146959,98.7012987,46.6866028,24.48308271,532000,390750,141250,
54,256,256,0,100,0,13813,13281,532,53.03701929,98.7012987,45.66427941,24.96428571,532000,398430,133570,
55,256,256,0,100,0,14069,13537,532,54.05934268,98.7012987,44.64195602,25.44548872,532000,406110,125890,
56,256,255,1,99.609375,0.390625,14325,13792,533,55.07767262,98.88682746,43.80915484,25.87617261,533000,413760,119240,
57,256,256,0,100,0,14581,14048,533,56.09999601,98.88682746,42.78683145,26.3564728,533000,421440,111560,
58,255,255,0,100,0,14836,14303,533,57.11832595,98.88682746,41.76850151,26.83489681,533000,429090,103910,
59,256,256,0,100,0,15092,14559,533,58.14064934,98.88682746,40.74617812,27.315197,533000,436770,96230,
60,256,255,1,99.609375,0.390625,15348,14814,534,59.15897927,99.07235622,39.91337694,27.74157303,534000,444420,89580,
61,256,255,1,99.609375,0.390625,15604,15069,535,60.17730921,99.25788497,39.08057576,28.16635514,535000,452070,82930,
62,256,256,0,100,0,15860,15325,535,61.1996326,99.25788497,38.05825237,28.64485981,535000,459750,75250,
63,255,255,0,100,0,16115,15580,535,62.21796254,99.25788497,37.03992243,29.12149533,535000,467400,67600,
64,256,256,0,100,0,16371,15836,535,63.24028593,99.25788497,36.01759904,29.6,535000,475080,59920,
65,256,256,0,100,0,16627,16092,535,64.26260932,99.25788497,34.99527565,30.07850467,535000,482760,52240,
66,256,255,1,99.609375,0.390625,16883,16347,536,65.28093926,99.44341373,34.16247447,30.49813433,536000,490410,45590,
67,256,256,0,100,0,17139,16603,536,66.30326265,99.44341373,33.14015108,30.97574627,536000,498090,37910,
