,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11935.0,297.0,0.0,0.9757194244604317,0.024280575539568347,0.0,,0.0,1.0,,
1,1.0,122.0,29.0,93.0,23.770491803278688,76.22950819672131,122.0,29.0,93.0,0.24298282362798493,31.31313131313131,31.070148489503328,0.3118279569892473,93.0,11906.0,204.0,29.0,0.9809516023544801,0.019048397645519948,0.002429828236279849,0.3118279569892473,0.31313131313131315,0.9975701717637202,0.7622950819672131,0.4439140811455848
2,2.0,123.0,87.0,36.0,70.73170731707317,29.268292682926827,245.0,116.0,129.0,0.9719312945119397,43.43434343434343,42.46241213983149,0.8992248062015504,129.0,11819.0,168.0,116.0,0.9767822105951602,0.023217789404839765,0.009719312945119397,0.8992248062015504,0.43434343434343436,0.9902806870548806,0.5265306122448979,0.47601476014760147
3,3.0,122.0,89.0,33.0,72.95081967213115,27.049180327868854,367.0,205.0,162.0,1.7176372015081693,54.54545454545455,52.82781734394638,1.2654320987654322,162.0,11730.0,135.0,205.0,0.9722040549378679,0.02779594506213211,0.01717637201508169,1.2654320987654322,0.5454545454545454,0.9828236279849183,0.44141689373297005,0.4879518072289156
4,4.0,122.0,101.0,21.0,82.78688524590164,17.213114754098356,489.0,306.0,183.0,2.5638877251780476,61.61616161616162,59.05227389098357,1.6721311475409837,183.0,11629.0,114.0,306.0,0.9656638325703074,0.03433616742969261,0.02563887725178048,1.6721311475409837,0.6161616161616161,0.9743611227482195,0.37423312883435583,0.46564885496183206
5,5.0,123.0,115.0,8.0,93.4959349593496,6.504065040650403,612.0,421.0,191.0,3.52744030163385,64.3097643097643,60.78232400813045,2.2041884816753927,191.0,11514.0,106.0,421.0,0.9569162851536952,0.04308371484630477,0.0352744030163385,2.2041884816753927,0.6430976430976431,0.9647255969836614,0.31209150326797386,0.42024202420242024
6,6.0,122.0,107.0,15.0,87.70491803278688,12.295081967213122,734.0,528.0,206.0,4.423963133640553,69.36026936026936,64.9363062266288,2.563106796116505,206.0,11407.0,91.0,528.0,0.9493950294310006,0.05060497056899935,0.04423963133640553,2.563106796116505,0.6936026936026936,0.9557603686635945,0.28065395095367845,0.3996120271580989
7,7.0,122.0,110.0,12.0,90.1639344262295,9.836065573770497,856.0,638.0,218.0,5.345622119815668,73.4006734006734,68.05505128085773,2.926605504587156,218.0,11297.0,79.0,638.0,0.941383257030739,0.058616742969260956,0.053456221198156684,2.926605504587156,0.734006734006734,0.9465437788018434,0.2546728971962617,0.37814397224631396
8,8.0,123.0,113.0,10.0,91.869918699187,8.130081300813004,979.0,751.0,228.0,6.292417260159196,76.76767676767676,70.47525950751756,3.293859649122807,228.0,11184.0,69.0,751.0,0.9329627207325049,0.0670372792674951,0.06292417260159196,3.293859649122807,0.7676767676767676,0.937075827398408,0.23289070480081717,0.3573667711598746
9,9.0,122.0,115.0,7.0,94.26229508196721,5.73770491803279,1101.0,866.0,235.0,7.255969836614998,79.12457912457913,71.86860928796413,3.6851063829787236,235.0,11069.0,62.0,866.0,0.9241334205362982,0.07586657946370176,0.07255969836614998,3.6851063829787236,0.7912457912457912,0.92744030163385,0.2134423251589464,0.3361945636623748
