Train,# Records,# Goods,# Bads,Fraud Rate,,,,,,,,,,,
,59684,58473,1211,0.020290195,,,,,,,,,,,
,Bin statistics,,,,,Cumulative statistics,,,,,,,,,
bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
58,597,597,0,100,0,34617,33406,1211,57.13064149,100,42.86935851,27.58546656,1211000,1002180,208820
59,597,597,0,100,0,35214,34003,1211,58.15162554,100,41.84837446,28.07844756,1211000,1020090,190910
60,596,596,0,100,0,35810,34599,1211,59.17089939,100,40.82910061,28.57060281,1211000,1037970,173030
61,597,597,0,100,0,36407,35196,1211,60.19188343,100,39.80811657,29.06358382,1211000,1055880,155120
62,597,597,0,100,0,37004,35793,1211,61.21286748,100,38.78713252,29.55656482,1211000,1073790,137210
63,597,597,0,100,0,37601,36390,1211,62.23385152,100,37.76614848,30.04954583,1211000,1091700,119300
64,597,597,0,100,0,38198,36987,1211,63.25483557,100,36.74516443,30.54252684,1211000,1109610,101390
65,597,597,0,100,0,38795,37584,1211,64.27581961,100,35.72418039,31.03550784,1211000,1127520,83480
66,596,596,0,100,0,39391,38180,1211,65.29509346,100,34.70490654,31.52766309,1211000,1145400,65600
67,597,597,0,100,0,39988,38777,1211,66.31607751,100,33.68392249,32.0206441,1211000,1163310,47690
68,597,597,0,100,0,40585,39374,1211,67.33706155,100,32.66293845,32.5136251,1211000,1181220,29780
69,597,597,0,100,0,41182,39971,1211,68.35804559,100,31.64195441,33.00660611,1211000,1199130,11870
70,597,597,0,100,0,41779,40568,1211,69.37902964,100,30.62097036,33.49958712,1211000,1217040,-6040
71,597,597,0,100,0,42376,41165,1211,70.40001368,100,29.59998632,33.99256813,1211000,1234950,-23950
72,596,596,0,100,0,42972,41761,1211,71.41928753,100,28.58071247,34.48472337,1211000,1252830,-41830
73,597,597,0,100,0,43569,42358,1211,72.44027158,100,27.55972842,34.97770438,1211000,1270740,-59740
74,597,597,0,100,0,44166,42955,1211,73.46125562,100,26.53874438,35.47068538,1211000,1288650,-77650
75,597,597,0,100,0,44763,43552,1211,74.48223967,100,25.51776033,35.96366639,1211000,1306560,-95560
76,597,597,0,100,0,45360,44149,1211,75.50322371,100,24.49677629,36.4566474,1211000,1324470,-113470
77,597,597,0,100,0,45957,44746,1211,76.52420775,100,23.47579225,36.94962841,1211000,1342380,-131380
78,597,597,0,100,0,46554,45343,1211,77.5451918,100,22.4548082,37.44260941,1211000,1360290,-149290
79,596,596,0,100,0,47150,45939,1211,78.56446565,100,21.43553435,37.93476466,1211000,1378170,-167170
80,597,597,0,100,0,47747,46536,1211,79.58544969,100,20.41455031,38.42774566,1211000,1396080,-185080
81,597,597,0,100,0,48344,47133,1211,80.60643374,100,19.39356626,38.92072667,1211000,1413990,-202990
82,597,597,0,100,0,48941,47730,1211,81.62741778,100,18.37258222,39.41370768,1211000,1431900,-220900
83,597,597,0,100,0,49538,48327,1211,82.64840183,100,17.35159817,39.90668869,1211000,1449810,-238810
84,597,597,0,100,0,50135,48924,1211,83.66938587,100,16.33061413,40.39966969,1211000,1467720,-256720
85,596,596,0,100,0,50731,49520,1211,84.68865972,100,15.31134028,40.89182494,1211000,1485600,-274600
